,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,0,1,0,2
1,2020-08-13T00:00:00Z,0,1,0,2
2,2020-08-14T00:00:00Z,0,0,0,1
3,2020-08-15T00:00:00Z,0,0,0,1
4,2020-08-16T00:00:00Z,0,0,0,1
5,2020-08-17T00:00:00Z,0,1,0,1
6,2020-08-18T00:00:00Z,0,1,0,2
7,2020-08-19T00:00:00Z,1,3,0,4
8,2020-08-20T00:00:00Z,1,4,0,4
9,2020-08-21T00:00:00Z,1,4,0,8
10,2020-08-22T00:00:00Z,1,3,0,6
11,2020-08-23T00:00:00Z,1,4,0,8
12,2020-08-24T00:00:00Z,1,3,0,7
13,2020-08-25T00:00:00Z,0,1,0,5
14,2020-08-26T00:00:00Z,0,1,0,3
15,2020-08-27T00:00:00Z,0,0,0,2
16,2020-08-28T00:00:00Z,1,1,0,4
17,2020-08-29T00:00:00Z,1,1,0,3
18,2020-08-30T00:00:00Z,2,2,0,4
19,2020-08-31T00:00:00Z,1,1,0,3
20,2020-09-01T00:00:00Z,3,2,0,6
21,2020-09-02T00:00:00Z,2,1,0,5
22,2020-09-03T00:00:00Z,2,2,0,5
23,2020-09-04T00:00:00Z,1,2,0,5
24,2020-09-05T00:00:00Z,1,1,0,6
25,2020-09-06T00:00:00Z,1,1,0,3
26,2020-09-07T00:00:00Z,1,1,0,3
27,2020-09-08T00:00:00Z,0,0,0,3
28,2020-09-09T00:00:00Z,1,0,0,4
29,2020-09-10T00:00:00Z,1,0,0,3
30,2020-09-11T00:00:00Z,1,0,0,4
31,2020-09-12T00:00:00Z,1,0,0,3
32,2020-09-13T00:00:00Z,1,0,0,3
33,2020-09-14T00:00:00Z,1,0,0,3
34,2020-09-15T00:00:00Z,1,1,0,5
35,2020-09-16T00:00:00Z,1,2,0,4
36,2020-09-17T00:00:00Z,0,2,0,3
37,2020-09-18T00:00:00Z,0,2,0,3
38,2020-09-19T00:00:00Z,0,2,0,3
39,2020-09-20T00:00:00Z,0,2,0,3
40,2020-09-21T00:00:00Z,0,2,0,2
41,2020-09-22T00:00:00Z,0,0,0,1
42,2020-09-23T00:00:00Z,0,1,0,2
43,2020-09-24T00:00:00Z,0,1,0,3
44,2020-09-25T00:00:00Z,0,1,0,3
45,2020-09-26T00:00:00Z,0,1,0,3
46,2020-09-27T00:00:00Z,0,1,0,3
47,2020-09-28T00:00:00Z,0,1,0,2
48,2020-09-29T00:00:00Z,0,0,0,1
49,2020-09-30T00:00:00Z,0,0,0,1
50,2020-10-01T00:00:00Z,0,0,0,2
51,2020-10-02T00:00:00Z,0,1,0,2
52,2020-10-03T00:00:00Z,0,1,0,3
53,2020-10-04T00:00:00Z,0,2,0,4
54,2020-10-05T00:00:00Z,0,2,0,4
55,2020-10-06T00:00:00Z,0,3,0,5
56,2020-10-07T00:00:00Z,0,2,0,3
57,2020-10-08T00:00:00Z,0,1,0,3
58,2020-10-09T00:00:00Z,0,1,0,3
59,2020-10-10T00:00:00Z,0,1,0,3
60,2020-10-11T00:00:00Z,0,1,0,3
61,2020-10-12T00:00:00Z,0,1,0,3
62,2020-10-13T00:00:00Z,0,1,0,5
63,2020-10-14T00:00:00Z,0,1,0,4
64,2020-10-15T00:00:00Z,0,1,0,4
65,2020-10-16T00:00:00Z,0,1,0,4
66,2020-10-17T00:00:00Z,0,1,0,4
67,2020-10-18T00:00:00Z,0,0,0,3
68,2020-10-19T00:00:00Z,0,0,0,2
69,2020-10-20T00:00:00Z,0,0,0,1
70,2020-10-21T00:00:00Z,0,0,0,1
71,2020-10-22T00:00:00Z,0,0,0,2
72,2020-10-23T00:00:00Z,0,0,0,1
73,2020-10-24T00:00:00Z,0,0,0,3
74,2020-10-25T00:00:00Z,0,0,0,3
75,2020-10-26T00:00:00Z,0,0,0,3
76,2020-10-27T00:00:00Z,0,1,0,4
77,2020-10-29T00:00:00Z,0,2,0,4
78,2020-10-30T00:00:00Z,0,2,0,3
79,2020-10-31T00:00:00Z,0,2,0,4
80,2020-11-01T00:00:00Z,0,0,0,2
81,2020-11-02T00:00:00Z,0,1,0,5
82,2020-11-03T00:00:00Z,0,1,0,6
83,2020-11-04T00:00:00Z,1,4,0,7
84,2020-11-05T00:00:00Z,1,4,0,9
85,2020-11-06T00:00:00Z,1,5,0,9
86,2020-11-07T00:00:00Z,1,5,0,10
87,2020-11-08T00:00:00Z,1,8,0,13
88,2020-11-09T00:00:00Z,1,8,0,12
89,2020-11-10T00:00:00Z,1,8,0,12
90,2020-11-11T00:00:00Z,0,9,0,14
91,2020-11-12T00:00:00Z,0,8,0,11
92,2020-11-13T00:00:00Z,0,8,0,13
93,2020-11-14T00:00:00Z,0,5,0,9
94,2020-11-15T00:00:00Z,0,4,0,9
95,2020-11-16T00:00:00Z,0,3,0,5
96,2020-11-17T00:00:00Z,0,1,0,3
97,2020-11-18T00:00:00Z,0,1,0,3
98,2020-11-19T00:00:00Z,0,1,0,3
99,2020-11-20T00:00:00Z,0,1,0,3
100,2020-11-21T00:00:00Z,0,0,0,2
101,2020-11-23T00:00:00Z,0,0,0,3
102,2020-11-24T00:00:00Z,0,0,0,4
103,2020-11-25T00:00:00Z,1,1,0,7
104,2020-11-26T00:00:00Z,2,2,0,6
105,2020-11-27T00:00:00Z,1,1,0,5
106,2020-11-28T00:00:00Z,2,2,0,8
107,2020-11-29T00:00:00Z,2,2,0,7
108,2020-11-30T00:00:00Z,2,2,0,9
109,2020-12-01T00:00:00Z,1,1,0,5
110,2020-12-02T00:00:00Z,0,1,0,4
111,2020-12-03T00:00:00Z,0,1,0,2
112,2020-12-04T00:00:00Z,0,0,0,2
113,2020-12-05T00:00:00Z,0,1,0,3
114,2020-12-07T00:00:00Z,0,2,0,4
115,2020-12-08T00:00:00Z,1,3,0,6
116,2020-12-09T00:00:00Z,1,2,0,4
117,2020-12-10T00:00:00Z,1,2,0,4
118,2020-12-11T00:00:00Z,1,2,0,5
119,2020-12-12T00:00:00Z,1,2,0,4
120,2020-12-13T00:00:00Z,1,2,0,4
121,2020-12-14T00:00:00Z,1,3,0,6
122,2020-12-15T00:00:00Z,1,4,0,6
123,2020-12-16T00:00:00Z,1,4,0,6
124,2020-12-17T00:00:00Z,1,3,0,4
